seq_name	label
EU599319	1
EF589464	1
EF589483	1
EF589538	1
EF589393	1
EF589435	1
EF589432	1
EF589434	1
EF589413	1
EF589392	1
EF589383	1
EF589419	1
EF589396	1
EF589397	1
EF589398	1
EF589395	1
EF589399	1
EF589400	1
EF589401	1
EU599330	1
EF589385	1
EF589402	1
EF589403	1
EF589404	1
EF589405	1
EF589406	1
EF589407	1
EF589408	1
EF589409	1
EF589410	1
EF589411	1
EF589412	1
EF589414	1
EU599321	1
EF589416	1
EF589417	1
EF589418	1
EF589423	1
EF589415	1
EF589421	1
EF589422	1
EF589466	1
EF589424	1
EF589426	1
EF589427	1
EF589384	1
EF589428	1
EF589429	1
EF589430	1
EF589431	1
EF589433	1
EF589386	1
EF589436	1
EF589437	1
EF589438	1
EF589439	1
EF589441	1
EF589442	1
EF589443	1
EF589444	1
EF589446	1
EF589447	1
EF589440	1
EF589449	1
EF589450	1
EF589451	1
EF589387	1
EF589454	1
EF589455	1
EF589456	1
EF589457	1
EF589458	1
EF589459	1
EF589460	1
EF589461	1
EF589462	1
EF589463	1
EF589465	1
EF589388	1
EF589468	1
EF589469	1
EF589389	1
EF589470	1
EF589472	1
EF589473	1
EF589474	1
EF589475	1
EF589476	1
EF589477	1
EF589478	1
EF589479	1
EF589480	1
EF589482	1
EF589485	1
EF589486	1
EF589487	1
EF589490	1
EF589491	1
EF589492	1
EF589493	1
EF589494	1
EF589495	1
EF589496	1
EF589497	1
EF589498	1
EF589499	1
EF589500	1
EF589501	1
EF589502	1
EF589503	1
EF589504	1
EF589505	1
EF589506	1
EF589507	1
EF589508	1
EF589509	1
EF589510	1
EF589511	1
EF589512	1
EF589513	1
EF589515	1
EF589516	1
EF589517	1
EF589519	1
EF589520	1
EF589521	1
EF589522	1
EF589523	1
EF589524	1
EF589525	1
EF589526	1
EF589527	1
EF589528	1
EF589529	1
EF589531	1
EF589532	1
EF589533	1
EF589534	1
EF589535	1
EU599323	1
EF589537	1
EF589539	1
EF589540	1
EF589541	1
EF589542	1
EF589543	1
EF589390	1
EF589544	1
EF589545	1
EF589546	1
EF589547	1
EF589548	1
EF589549	1
